Reviewer_Score,Review,label
8.0,Room was to cold. Air conditioner was not enough to warm up. But they helped by giving a heater...  Staff were good. Hotel was clean and quiet. It's so close to centre...  ,1
9.2,It’s weird how the bedrooms are set up.  It’s location and staff.  ,1
9.0,"Nothing I didn't like  Locations was great, the bed was so comfortable and staff were excellent  ",1
8.0,Location  ,1
8.8,"Bathroom door, could hear partner pooing  Its ideal location omg so good  ",1
7.0,"Noisy, there is no frigobar  Location is excellent and staff very friendly  ",1
7.9,Staff are nice  Not far from the centre  ,1
9.2,For the price I really have no complaints or issues  Location of this hotel is perfect - 5 mins from Amsterdam Central station with loads of bars and restaurants all around.....nothing we wanted to see or visit was more than a 20/30 minute walk away. Our room was clean and the beds were really comfortable.....cannot comment on the food as we ate out every meal.  ,1
8.0,"Size/shape of room - very little room to move around the bed. Bathroom very much the same. Room was very warm, even with window open it was stifling  Staff were nice and polite. The cleanliness of the hotel and the room could not be faulted. Location wise its ideal  ",1
9.2,The room did not have two separate beds which is awkward when you’re with a family member b  Location was great and the breakfast was delicious. Plenty of options....  ,1
8.0,Location  ,1
9.0,Amazing staff amazing location!  ,1
9.0,"Breakfast was a little expensive  Clean friendly staff, great location  ",1
7.0,Rooms too small and the booking process. My first booking was cancelled for no reason. Breakfast options limited and cleaning of the rooms  Location of the hotel  ,1
7.0,I like everything  Every Thing  ,1
9.0,The first room we was given (210) a small window that looks out to nothing dull & dark room spoke with staff and got moved  Friendly check in staff nice and easy check in Being moved to another room  Bathroom was lovely  Modern rooms  Comfy bed  Toiletrys in room  Light and airy room  Room was a little small but normal for Amsterdam and your not in them long  ,1
9.2,Breakfast  Not able to buy snacks with euros only card  Location Comfort Staff friendly  ,1
8.0,"Location was excellent.    5 minutes walk to Dam Square & Central Station.  Conveniently located, close to all amenities.   Staff at the hotel were very friendly and accommodating.  ",1
7.0,Very friendly stuff and very close to the central train station.  ,1
8.0,"Nothing really!  We didn't eat at the hotel so cannot comment of food. Location is 5 minute walk from Amsterdam Central train station and 5 minutes from De Wallen so for those wanting to visit bars, coffee shops, red light district along the canals its ideal. Room was small but adequate, we ended up with a twin room but the beds were together so virtually a double. Pillows a little sof but overall comfortable. Bathroom was seperated from the main room by frosted glass so if you want/need privacy not ideal! We visited in January and for 2 nights paidjust over £200, however it will cost more at other times of the year.  ",1
8.0,"The hotel was located very central to shops, train station, trams and restaurants. The breakfast was a buffet and there was a great choice. Also i would like to mention that all the staff we met were very friendly and helpful.  ",1
8.8,The location it was perfect  The property was in a great location. It is a 10-15 mins walk to the main part of Amsterdam and 10 mins to either Dam Square or the Train station. Perfect location  ,1
8.0,"The first Day we arrived to the hotel late at night the person who was at the front desk I would say not has attitude when he noticed that we had a problem with the payment, that was a really bad impresión at the first sight, the room was not cheap so he could have a better attitude and helped us to fix the problem. After some days I change my mind as I found other person of the staff very mind with us.  The location was a good point, its near to the central station, the breakfast was good, the room a little bit small but confortable, a little overpriced but good.  ",1
8.0,"Our room faced a type of a courtyard.  On arrival we requested a street facing room... wasn't available though.  On the other hand, that caused our room to be quiet - which my friend really liked.  The only thing that really bothered us was that some other guests were smoking weed in their room.... and we could smell it in the corridor on the first floor.  The hairdryer in the bathroom (although standard in hotel rooms) is really not very good - especially if you have long curly hair... it takes ages.  Maybe the hotel can keep an extra (stronger) hairdryer at reception?  Second time that I stayed at Westcord.  It is a lovely hotel.  Location is excellent.  Love the smell of the hotel as one enters from the street... clean and fresh. Comfortable lounge.  Good wifi.  Room was comfortable.  Staff very friendly.  I will definitely stay here again.  ",1
8.3,The glass toilet amplifies every sound through the room we found it very invasive to each other you can see through the frosted glass. Could also have been given a map for the area  Location was perfect. Bed very comfortable. Staff polite approachable helpful and friendly would probably stay there again  ,1
7.1,"The rooms were small and the ensuite was glass walled, the room was very small and but came with exorbitant price for what you get. Having said that the rooms were very clean. Also disappointing to see that management don't respond to reviews . So I am not sure of the value of this review or all the others  Good central location and the lady on reception was very friendly and welcoming. Short walking distance to shopping areas, bars and restaurants and the train station is only a 5 minute walk.  ",1
9.6,Didn’t like we couldn’t control room temperature.  Loved the way u were able to borrow an umbrella when it was raining.loved the free flavored water.loved the friendliness of staff at reception.  ,1
7.5,Room layout was tight for dealing with luggage.  Twin beds were a bit too firm/hard.  Convenient location. Elevators!  ,1
8.0,Rooms are very small.  The location  ,1
9.2,"Location is perfect for all areas. 5 minutes from the Station. And two minutes from the centre of the city'. It's also right among the local shopping area and both Red and Green light district's.  The Hotel bed was really comfortable  and allow the rooms are small, they are fresh and clean with good room service. Never had to ask for anything other than an Iron and board witch is located on the first floor but there's many so you can take one to your room. Enjoyed this Hotel very much and would recommend it as I've paid the same for ones no were near as clean or better located. Also an area for juice and other drinks in the ground floor. Umbrellas are also provided by the hotel.  My wife also loved it and she isn't the easiest to please as she was a maid and expects the same quality she would leave in her rooms witch isn't always the case. Perfect place for couples. Facing the police station so it's also really good for saftey at night if you have to go outside to smoke. And the Chapel right behind is a beautiful building designed by the same person who designed Amsterdam Central Station. Accessible through a lane just beside the Hotel. Places like Dam Square and Ann Frank's House are also just 5 and 10 minutes walk too.  Definitely recommend  ",1
8.0,We got locked in our room! The door knobs were new and so stiff we couldn’t turn them! Had to change to another room.  The bed was comfy. The breakfast was very nice.  ,1
9.6,No room service  Location  ,1
8.8,"Great location, nice room, great service - real value for the money - we will return!  ",1
7.1,"Not value for money.Corner room which has movement limitations Snacks available by using card only. No option for cash Rooms daily change was towels only. No bins emptied on 2 occasions. Bed not made on one day. The room did not feel as if it was serviced every day. 3 small coffee pods for two adults is not enough!I felt as if the cost for the stay should have included breakfast but it was another 18 euro on top which was not value for money.  Location was very good.  ",1
6.7,"Rude staff upon arrival. We questioned our charges and were made to feel as if we were in the wrong, staff that dealt with query was very rude, patronising, not apologetic at all. When eventually we checked into our room there was a bottle of water & confectionary as an apology. We booked this hotel on the understanding that charges were 'pay when you stay' , booking secured by debit card details were charged a large sum a week before our stay & an unknown additional charge on checkin. One member of staff stated this would be refunded, and another member said not, that they could only refund to a credit card, clearly ludacris. Overall really unimpressed & would certainly not stay there again.  Location  ",1
7.5,"Size and layout of room. So small with desk area taking up much of the space. Terrible view from room 301 , enclosed within building, little to no natural light. Bathroom with restricted privacy - see through screen, big gaps round door.  Location and staff were excellent  ",1
9.2,"My only dislike was I asked for a double bed but it was 2 single beds pushed together with 2 single duvets on the bed  The hotel was so central to everything 3 min walk you where at central station and if you crossed the road within a minute you where beside all the shops.the staff was so friendly and helpful I would definitely stay here again  ",1
7.9,"Location. Everything squeezed into my room, but great time.  ",1
6.7,It was 3 Star not 4 Star as advertised. A lot more expensive than other Hotels that friends stayed in at the time . This was for International football match.  Good location  ,1
8.3,"Room was small compared to other hotels we had been before in Amsterdam. And the price was quite exorbitant. It was our anniversary, and we availed of the Romance package. The rose petals they made as decoration were made of plastic 🙄. The chocolates were nothing especial. So to make it short, we were not really impressed.  The hotel rooms can do a bit of upgrade.  The staff from reception and the breakfast room were friendly,  accommodating and polite. The location was superb. Facilities were within standard just like any other hotels in Amsterdam. Cleanliness was excellent. The devil worked hard but the cleaning staff in this hotel worked harder. Breakfast was satisfying and fresh produce were provided everyday.  ",1
7.1,"My daughter and i were informed when we arrived dead tired around 10 pm that the hotel was over booked so we were taken by cab (paid for by the hotel) to snother branch of the hotel, far from the city center. We spent one night there. We moved to the city center branch the next day by cab (paid for by the hotel).  We were given complementary wine and nuts upon arrival and free breakfast every day. The tray, glasses and plate were left in the room the following day, the room was not cleaned properly. However the front desk/reception were very nice. Cleanliness left a lot to be desired.  ",1
7.9,"I wasn't keen on the outlook from the room but this could of been because I requested a low floor I also booked the room due to the quirky glass bathroom wall design, I didn’t get this though  I liked that the hotel was really central to the city without being in the thick of it. They also honoured my request for a low floor room and double bed instead of 2 singles  ",1
8.3,Very small room.  No place to sit comfortably.  Location  ,1
7.9,"The door nob from  inside the room is very hard to open. There's mold on the shower wall. The bed is facing the wall instead of the window, which makes us feel claustrophobic  The location and excellent reception services. All staffs are friendly and helpful  ",1
7.0,"I don’t like the Toilets setting,too too small space! The shower door can’t fully  closed, the water spray out of shower pan.  ",1
8.8,"A bit too transparent bathroom for my taste 😀  Location, location and again location 🙂 Very helpful staff at reception and good room.  ",1
9.2,Close to centre  ,1
9.2,Lack of bedside table and no fridge  Great location.... walkable to everything  ,1
9.2,Room was warm for first 3 nights. Noisy if window open street noise  Location friendly staff and breakfast  ,1
7.9,"Poor room layout Nowhere to unpack - had to put cases on bed and then on floor to sleepBed poorly positioned  Staff very helpful and friendly  ",1
8.3,"The rooms I had were a little wired, the bathroom was good, breakfast was nice though  was a little experience. Staff was very nice and collaborative  ",1
8.3,Room sizes are small and  you need to redesign the toilet area  Nice location  ,1
7.9,"The room was tiny - a real struggle for 2 women with a lot of luggage. The room was so poorly designed - we barely had room to move around, there was almost no storage space, the pillows were horrible (so soft they provided no support and I woke up with a terrible neck ache), there wasn't a single shelf in the bathroom and the bathroom was all frosted glass so there was no privacy. I know Eurpoean rooms are smaller than what we typically have int he US but this was exceptionally small and poorly designed.  The hotel was lovely, breakfast good and the staff was very helpful and friendly. The location was excellent - walking distance to the Anne Frank house, waterfront, canal cruises and main square.  ",1
8.5,Very squeezy room! No fridge in room. Difficult to move around suitcases as so small  Excellent central location! Staff very responsive with requests for ice buckets. Quite reasonable price given very busy in town for GayPride March early August 2019. Would recommend.  ,1
8.8,"Rooms are rather small,  Didn't like the bathroom opaque glass door  Very good breakfast.  Very clean everywhere.  Friendly, helpful staff  ",1
9.2,"Room was a little smaller than expected. Could of just been the luck of the draw to be honest.  Excellent location, close to all shops, cafés, bakeries and bars etc!  ",1
7.5,"The room had minimum storage space for clothes, underware and other personal  belongings. Specially for longstay of two. Carpets ask to be replaced.  The location was excellent for tourists. Tea & coffeemachine in the room, microwave oven in lobby. Friendly staff.  ",1
9.2,We had a few issues with the AC and the staff took care of it right away.  ,1
8.3,"Hotel is pricey i found rap when breakfast is not included in our price.  Rooms very quite and curtains were totally black out. Superb location. Very friendly staff, stores our luggage while we we waiting for our time to leave for the airport.  ",1
8.3,The beds were singles pushed together  The room was nice staff really accommodating. Great central location.  ,1
7.9,The room was a little small .  The bed was comfy and the location fantastic .  ,1
9.6,Nothing. All great.  Excellent service from friendly staff. Nothing too much trouble.  ,1
8.3,"I booked two rooms, one shower was cork and overflown to lower level.  The staff solved the problem effectively and changed the room for us.  ",1
8.3,"The beds comfortable, the breakfast was plentiful and a good choice, coffee was good, staff in restaurant were very obliging  ",1
7.1,"Beds facing the wall???And a desk cramped between the headboard and the window? Very difficult to move in the room. Vu  Nikita at the front desk was AMAZING, from check in to checkout simply also std at the ho because she lets her light shine constantly, is obvious that she loves what she does some friends that stayed at the hotel experienced the same. Well done Nikita and thank you!!!  ",1
8.8,"Wasn’t worth the price I paid  Great location, Staff were very friendly and helpful  ",1
8.3,"No fridge in the room. Smell coming up from the toilet, not very pleasant. Air conditioner comes on automatically at night and in the morning. Need to get up to turn it off. Light switches on the headboard and so pillows turn lights on when you’re in bed.  All staff are extremely polite and welcoming. They always greet You with a smile and are always happy to serve you. Nothing was too much.  Very central location. Close to shopping areas, restaurants, supermarket, Dam, tramline, Central Station. In other words, really great location!!! The room is a reasonable size. Great for one person. Ok for two! Decent view of the local area from the room.  Flavoured water available in the reception. Ice available from the desk. Storage for luggage, should you require it. More things/refreshments available to purchase in the reception.  Breakfast available but rather costly. Recommend going to Irish pub for great breakfast at €11.  ",1
7.5,Hotel was very central with nearby carpark  ,1
7.9,"rooms are tiny for 2 people, had to walk sideways to get around the bed to get past  location is perfect  ",1
9.6,Very central! Amazing staff!  ,1
8.3,The room was oddly set up. The bed position was strange.  The location was absolutely fantastic for walking around Amsterdam.  ,1
6.7,Small room and small bathroom(glass wall).  No fridge to keep milk for tea and coffee.  Close to all the facilities and clean.  ,1
8.3,I really enjoyed my stay here. The staff were lovely and overall it was very comfortable. Would definitely recommend.  ,1
9.2,"Layout of the room  The hotel’s location is excellent , very close to major attractions. The tram stop is just outside. The staff is friendly and the breakfast is good.  ",1
7.9,the check starts from 2-3 pm  ,1
9.6,"Door handle on bedroom door was sticking and we couldn't get out of the room, we reported it but said nothing could be done until the next day. If there had been a fire it would have been very dangerous.  Great location, friendly staff  ",1
7.9,"The artwork on the walls does not set a professional tone.  Also, the shower had either rust or mold around one edge.  However, everything else was clean.  There is a kettle in the room, good AC which is needed during the summer, and a very accommodating staff.  The location was very good.  It's near Amsterdam Central, near Dam Square, and many attractions.  It,s also on major tram lines, so navigating Amsterdam from the hotel was easy.  This is a decent, basic hotel in a city of very high priced hotels.  ",1
8.3,Wasn't much room in our room  Great location  ,1
9.2,"Hated the Glass walled shower and toilet. Strange lighting arrangement sometime the shower lights would turn on and sometimes they would not  Great location, nice air conditioning, good room  ",1
8.8,the room I stayed in had a flat roof that held water out side my window. The mold from standing water made me ill.  did not have breakfast there.  ,1
7.5,"Cleaning could be better. Lack of privacy with the bathroom glasses.  Well located, very convenient to all city center tourist points.  Reception very helpful  ",1
8.3,"The cleaning personel not so good, in four days no toilet roll was replaced, no box tissue was replaced and not even the shower gel in the shower was replaced and we even removed it from the shower to show that it needed to be replenished, they just put it back empty. Not even bothered to sweep the bathroom floor. Not very pleased with that.  Staff helpful and nice, room very small for 2 persons, bed & pillows comfortable, tv channels very good, shower very good, air condition very good, small shop in reception good. Lovely stay.  ",1
9.2,Would have been good to have a bar.  Good location. Lovely clean air conditioned rooms. Good breakfast.  ,1
8.3,"Nothing really to fault, you are getting what you pay for and we were happy with our stay.  The hotel was in the perfect location for the station, dam square, red light district. Tram station right outside the hotel too which was great. Rooms are small but that’s too be expected, not much space to move around but that didn’t bother us in the slightest as it was only a place to sleep. Would definitely stay at this hotel again if returning to Amsterdam and would recommend it to anyone.  ",1
8.3,No fridge in room.  Lovely dark room and good shower. Great location to explore Amsterdam.  ,1
8.3,"Clean and tidy hotel. The staff is very courteous and pleasant. The location is good but not excellent. The rooms are clean but very small. The shower is clean and comfortable but very small. Were it not for the size, the score would have been much better.  ",1
7.9,Rooms are quite small  Excellent location and friendly staff  ,1
7.5,Pretty good location. Room was very small but sufficient for one person. Restaurants all around and walking distance to the canals. 10 min drive from Amsterdam central station  ,1
7.9,"Very small for 3 peoplebed light not working  location excellent  ",1
7.9,"Small room, the shower didn't drain fast.  Location and friendly staff  ",1
8.8,The layout of the room  The shower  ,1
6.7,Room size  Location  ,1
8.3,"Small rooms, although not a problem as just really sleeping there  Very central, easy walking distance to everywhere  ",1
8.8,"Could be a bit cleaner, and it's not the cheapest.  Location is perfect. Nespresso machine in all rooms. Staff was friendly. It was a good trip and would definitely consider staying there again.  ",1
7.5,"Need to upgrade hotel hardware, Like Bathroom facilities, carpet cleaning.  Convenience, just 10 mins walking distance from Amsterdam Central Station. The best location we would like to recommend and with competitive / reasonable rate.  ",1
9.2,"The bed is in such a weird location in the room, just didn't feel able to relax property with the bathroom door right behind your head.  ",1
9.6,"Breakfast not included as with other hotels  Perfect Location, Helpful and friendly staff  ",1
8.8,Pillows to soft and had to keep asking for English Breakfast tea bags and the room was pretty cold.  ,1
8.3,Pillows too soft and smell of drains in bathroom  Comfortable bed  ,1
7.5,"N/a  Central, reasonable price  ",1
7.1,"Our room was very small. Breakfast was not included in the price, it wasn't a cheap rate for the room either so was surprised breakfast would be extra.  The location, was close to all amenities.  ",1
7.5,You cannot control the heating in your room... Reception either turn on for the whole building or not at all hence one night freezing the next boiling  Friendly staff comfortable bed nice and clean  ,1
7.1,"single bed with single bed covers when I asked for a double.the carpet in the entrance of the room was stained and looked grubby  hotel location was great for me .Breakfast was great  ",1
6.7,We didnt choose the breakfast due to the price. We had no window and for some reason the room was cold.  Seemed to gave good space despite the unusual design of the room.Ensuite and hot water.  ,1
8.8,"Room a little small and strange layout  Very good location, staff friendly and efficient  ",1
7.1,Bedrooms were very small. Bathroom even smaller  Location was great and the rooms very clean  ,1
9.2,"The layout of Rooms x02 (x= floor) is not large enough for two people. The angles of walls make it difficult to get in/out of bed. But the staff let us move after the first night.  AirCon was not working when we were there but management was looking into the issue.  Location was perfect for us. 5 min walk to Centraal station and Access to Tram right out front door.  We did not pay for breakfast but instead went to s small family run mini market for coffee, yogurt & baked goods each morning.  ",1
7.5,"Room small Bathroom .. small and not private enough  ",1
8.8,"Great location , near train station and tram stop.  ",1
8.3,"Bathroom glass walls do not offer much privacy.  Room very small but I just use the room to sleep in, so for me not a big deal!!!  The hotel is centrally located and about a 10 minute walk from the train station.  The room is very small and furniture is angled strangely in room to fit.  The size of the room did not bother us but the bathroom enclosure, which is not behind walls but glass was a drawback.  You can see the other person's shadow while they are in there .  Not a deal breaker for us because the room itself has my most important feature, being clean.  Location is great close to trams etc and be forewarned very close to the red light district.  ",1
8.8,Double Room was small for two gusts  2 days nice stay  ,1
7.9,If you are tall you might have trouble sitting on the toilet since it was oddly positioned into a corner. the front rooms on the  lower floor can be noisy from street traffic.  They let us check in early which was a godsend. The staff was very friendly and helpful especially at breakfast. excellent location.  ,1
8.3,It’s a bit of a factory  Nice staff  ,1
8.3,"Location ,Breakfast  ",1
6.7,how beds are placed and size of room  exhaust in washroom was not working properly creating a situation where one had to open window to clear air in room  ,1
8.8,House keeping wasn’t up to standard  Friendly staff Great location  ,1
9.6,Bathroom could have been more private  The staff were brilliant. My mum broke her arm and the hotel staff were so helpful with lots if information for us  ,1
7.5,Very dirty underneath the bed and room very small  Bed was comfy  ,1
7.9,Tiny room & AC didn’t work!  Hotel room was tiny by any standard but the staff was exceptional!  ,1
9.2,No fridge.... Carpet in room worn and dirty  Location.... Security.... Staff....clean....  ,1
8.3,Room too hot  Good location. Nice staff  ,1
10.0,Very clean and close to the plug 🔌  ,1
10.0,"The hotel was clean and in very good location ,one stop from and to central station,stuff was very helpful and cute  ",1
10.0,"Location, cleanliness,service all 5🌟  ",1
10.0,brillant  ,1
5.0,,0
10.0,Excellent customer service from the staff in  reception and contactless vending in the lobby  ,1
10.0,Central to all Amsterdam attractions hence the reason for choosing same. Exceeded my expectations .  ,1
5.0,The glass bathroom feel very exposing and the carpet on the walls  Good helpful staff  Comfy bed  Near good coffeeshops  ,0
10.0,"My third time staying here and I’d quite happily stay here again! The hotel is lovely, the rooms are lovely, the staff are lovely. The location is really good, a 5 minute walk from Amsterdam Centraal, surrounded by decent bars, cafes and restaurants.  ",1
10.0,Nothing to dislike our stay was perfect  Perfect location the staff really were amazing very welcoming and helpful they even gave me a card and balloon attached to a bottle of Moët for my birthday made my day that they were so thoughtful - also to add it was probably the comfiest hotel bed I stayed In I will definitely be returning in the future 😁  ,1
4.0,Toilet had glass windows in a room which was to accommodate 3 men which was not ideal for privacy. Hotel didn’t look like the pictures online  Location  ,0
10.0,Nothing  The whole experience was excellent would definitely recommend and will be back for sure!!  ,1
10.0,Nice rooms & lovely staff & great location.  ,1
10.0,Everything was perfect  Everything  ,1
1.0,Think twice before you order this hotel! The hotel tell us not to come because the COVID 19 And not want to refund the money. After a lot of messages they still not want to refund We also try to contact booking and no responses  We are very disappointed from the hotel connection  We don't understand how hotel can tell us that we are not welcome in their hotel and not want to bring the money back.  Nothing  ,0
10.0,"Nothing I disliked!!  Fantastic location, great amenities, good sized room and staff are exceptional!!  ",1
10.0,"Exceptional location, amazing friendly staff. From the onset of having one of the 2 rooms available at 10H rather than 15H, the staff were exceptionally helpful and informative, and after they asked why we were in Amsterdam and we said for one of our birthdays, on the evening of the birthday some cakes, wine, and balloons with a card were left in the appropriate room. Fantastic!  ",1
10.0,"Nothing  Location is excellent, 5 minute walk to central station... my choice of hotel in Amsterdam  ",1
10.0,"Everything was fine  *central location, within easy walking distance of central station & on a tram route;*friendly staff - & they gave me a free room upgrade;*quiet room, comfy bed;* excellent breakfasts - fresh, flaky croissants every day  ",1
10.0,"Nothing  The Staff were exceptional.. especially Chantel. She was also training a young man whilst checking us in.. this did not detract from our experience..in fact it enhanced it. We did not catch the name of the trainee , however he was lovely too 😀  ",1
1.0,This review has been hidden because it doesn't meet our guidelines.,0
5.0,"I didnt like that my room #414 had visible mold in the shower area, In addition, the rooms were quite small for double occupancy. I was misinformed about the breakfast, as I was misled into believing it was complimentary for guests, then upon check out, I saw I was charged twenty plus Euros. I absolutely would not have eaten there for that price. It wasn't my intention to even dine in until I was invited inside.  I enjoyed the location. Centrally located for easy walking to all of the key spots in Central Amsterdam.  ",0
6.0,"Cramped room, carpet on the wall ( not good for allegories ) no fridge.  General location to main train station.  ",1
10.0,"Nothing  Close to everything, all walking distance  ",1
5.8,The check in was very slow and unhelpfull  Position of hotel  ,1
10.0,No complaints at all. Perfect city break.  Great location.  Staff friendly. Would definitely recomend this hotel.  ,1
10.0,There wasn't anything I didn't like.  Great Hotel in excellent location. Would definitely stay if I visited Amsterdam again.  ,1
5.0,Very small bathroom and no privacy whilst in the bathroom due to glass door. Glad we are married and not new partners as would be very embarrassing going to the toilet!  ,0
5.0,Not enough tea coffee and milk in the room  Location great.  ,0
10.0,"I was sharing a room with a friend and the bathroom was glass frosted room, I was ok with this but did think it could be a bit awkward if you were sharing a room as part of a larger party of friends and wouldn’t have liked that in that instance.  It was in a fabulous location, walking distance of station and restaurants, bars, museums etc! The property had modern rooms and was really clean! Staff were extremely friendly too!  ",1
5.8,"Be aware there are 2 glass walls for the bathroom.  You loose a lot of privacy.  If you get up before your spouse and take a shower, the light and noise will wake them up!!  Also if you want your air conditioning to work, you have to call the front desk to turn it on.  They don't tell you this.  Your controls in the room don't turn it on!  ",1
10.0,"the lovely, welcoming, helpful staff  ",1
10.0,"I didn't like the bathroom, with the glass panels and no lock on the door.  Everything else all good  ",1
10.0,"Location is perfect. Central to redlight, centraal station, Dam square etc Hotel clean, rooms are not huge but why would u want a massive room as you are out n about most of the time. Staff all very helpful - would def return  ",1
10.0,"Clean, stylish, quiet and really central for all attractions with close proximity to the train station. Reception  ",1
10.0,"The room has no refrigerator  Simple, the room wide enough  ",1
5.0,Room area-facilities  Plac  ,0
10.0,Not sure about the glass panels for bathroom walls  Great location for exploring the City  ,1
10.0,They have no smoking room  Clean very clean and location  ,1
10.0,Nothing  The staff were perfect  ,1
6.5,"The door knob is too heavy and it is very hard to open the door. This is very dangerous in case of emergency.The shower wall is molded. The glass of the bathroom should be darker, and should not be able to see through the glass. It is not comfortable when staying with friends.  The hotel is very centralized and very close to the train station.  It is very safe with a key to get in to the hotel and to the elevator.Good coffee is provided in the room  ",1
6.3,"The rooms could have been bigger, one room smelled so much that I had to request to move - then the next room was hot and the window was unable to open.  ",1
10.0,Nothing  Everything  ,1
10.0,That we were only in Amsterdam for 1 night  Love the coffee the canals the shops the food the vibe  ,1
6.0,"As above  Location was spot on, clean,  very friendly and helpful staff. Only down side was size and odd shape of room, a touch on the small side but not a great issue. Bathroom had frosted glass walls which was a bit......off putting and just not our bag. Could have done with couple of bottles of free water in the room and a bit more milk and tea/coffee facilities but minor irritations. Not bad.  ",1
6.0,"Room was small but was fine for us. Once you know that beforehand, you shouldn’t be disappointed. Breakfast was expensive for what was available. If I stayed again, I would skip breakfast and source elsewhere  Location was second to none. Very central. Couldn’t ask for better.  ",1
10.0,Pillows were way too soft.  ,1
5.4,Very small rooms for the money  ,0
10.0,"N/A  Excelent friendly staff, great location.  ",1
5.4,"Good location. 99.9% of the female staff were very gracious, friendly and accommodating. The male staff not so much. I had to repeatedly ask for the heat to be turned on. The rooms were below adequate extremely small. I would recommend the location NOT the hotel because of the rooms, especially at the rates.  ",0
4.6,"size of room, no hanging space for extended stay, no fridge and poor room maintenance. bed not made, dirty glasses not replaced, towels not replaced,  Location, Staff  ",0
6.3,At reception we were told we were getting a free upgrade to a bigger room in a quiet section at back of hotel. The room was small and what we originally booked and lots of noise from the lift and street below.  The location. Walking distance to most attractions.  ,1
5.4,Wash room  Location  ,0
6.3,The inferior conditions of the hotel were the size of the room and the cleanlines of the room  The most valuable component of the hotel were the location and the pillow  ,1
5.4,Room very small and the carpet in our room was very dirty.  Location.  ,0
10.0,The Glass bathroom is a bit much even for a couple who's been married a long time  The Lactation is very good the bed was very good and the room was clean  ,1
6.3,"Rooms very small basic , shower glass door poorly designed kept crashing into shower door , no toothbrush or glasses plastic cups , no bar downstairs to sit in .  That is was in great location , staff were good .  ",1
10.0,Everything was great  Close to everything  ,1
10.0,"The room I had didn’t have a view at all  The location was perfect, the hotel was clean and modern, overall fantastic.  ",1
10.0,Nothing  The ease of booking in and leaving our bags.  ,1
5.4,"It was dirty and there was a few things wrong with our room. The air con didn’t work, the drain was blocked, the shower door didn’t close and we found dirty underwear from the person who stayed before  The bedroom was really cosy and comfortable  ",0
10.0,Size of the bathroom  The bed was comfortable  ,1
5.4,"Room very small, had no place for luggage.  Close to the train station.  ",0
10.0,Comfortable and secure  ,1
10.0,"The location was excellent: a short walking distance from the main attractions and very accasible to public transportation. The staff very halpfull. The room was very quiet and had all that we needed.Special thank you to the staff little gift for my wife's BirthDay.  ",1
