title,review,rating
Lovely location,"We had dinner outside with friends just so close to the river. The location is great, food is very good. It was just a little bit dark as there were no candles or light on the table. Anyway it is worth it. I would definitely suggest it.",40
Best InterContinental in Europe with outstanding service,"4th stay at the Amstel Hotel: the grandeur and beauty of the building remain. Even if the Covid has changed some details: seated check in, beautiful lounges removed and plexiglass walls, the welcome is still the best in Europe. And the team shows great professionalism, so that the customer does not suffer from the Covid. The IHG CLEAN protocol is perfect. InterContinental remains the only chain with LHW to maintain a real level of recognition for its Ambassador members. With my Platinum status I received a double upgrade to an executive river view suite. The Whaooooooo effect was immediate upon discovering the rest. Everything is magnificent, the common areas, restaurants and terrace on the Amstel river. All the staff are very friendly and cheerful. Room service (diner and",50
Wonderful place to stay,We stayed for two nights here. Breakfast was very enjoyable with an excellent service. The bar location was inside as well as outside with a wonderful river view (as well valid for the breakfast area). The service was excellent here as well. The reception was a little understaffed. The doorman and the concierge were very helpful and gave good recommendations and support,50
One of the very best afternoon thee in Amsterdam,"This is indeed one of my favorite from the best afternoon thee places in Amsterdam. Wonderful location near the river, nice people and very good food as well. For one driving, easy parking with enough room especially for Amsterdam.",50
High tea,"I went to the amstel hotel for an afternoon high tea with a friend. The atmosphere is great and the staff very friendly. The food didn’t impress us much.. The sandwiches didn’t have an interesting flavor or touch to it which I’d have expected from the Amstel hotel. Yet, the sweet course was lovely and very tasty. The teas were nice and I loved the addition of an iced tea.",30
A grand hotel,"As I’ve mentioned before, the hotel is very grand. It’s like a palace. The service is pretty good! People there treat us like royals. The location is convenient, it’s in the two roads and one riverside! Such an atmosphere by the river!",40
"Nightmare check-in, Everything else is great","I loved my stay at this hotel. The location is great, right beside the amstel river with a great view of it, the property is very beautiful and the staff were professional. The room is spacious and comfortable. The breakfast is fine. Everything went great except the check-in process which was very bad as they asked for a huge deposit (150 euros for every day of my stay) and they did not accept deposit in a different currency (i carried USD). I stayed at another 5 stars hotel in Amsterdam and paid only 50 euros a day as deposit. I am not sure how much is the normal deposit and why did they ask me for such a huge amount?. I had to pay the deposit using credit card, the refund toke a while to process and this disrupted the rest of my travel. I also think that they asked other",30
Incredible stay,We booked in for one night as a special treat and special it was... Everything from start to finish was amazing. Nothing was too much trouble and the staff couldn’t be more friendly and helpful.. special thanks must go to Kimberley who went above and beyond to ensure our stay was simply perfect..she is an absolute asset to this wonderful historic hotel. I would recommend it to anyone in a heart beat.,50
Amazing stay but is it worth the money....,"We finally had a excuse to stay at the Amstel Hotel after been visiting often when we lived in Amsterdam we never had a hotel stay. There are some attention for details needed for a 5 star hotel, for example upon arrival no bell boy or porter outside to assist us with the car and the luggage, rooms are nice but honestly price per night average 650 Euro is it worth.. not really.. there are better hotels for a better price to stay to be honest. Breakfast was great, not cheap but with a champagne your day starts great with the view over the canals and very attentive staff which serve you all what you need. all over a good experience and certainly te recommend if you have a big wallet to spend.",40
"Best high tea in the city, without a doubt!",Loved the high tea so much. Just amazing and the food was just the best. I loved that the tea's were matching the different courses as well and because I was celebrating my friends and mine birthday they did something nice for that too! I will be back soon for sure.,50
Relaxing spa stay,"Large rooms over looking peaceful side of the city. Short distance away from the central town. Very personnel check in, with lovely touches being offered tea and small cakes. Concierge were very swift on taking the bags to the room. Our favourite part of the hotel was the spa. Very peaceful, quite and overlooking the river. The facilities were great specially the cooling well and whirlpool was our favourite. Also, was a great spot on the side of the pool to read on the loungers.",50
Great use of IHG points,"We stayed here in December on my IHG points for 2 nights, in 2 rooms and did not pay a dime. When we told waiters/waitresses where we were staying they were impressed. My wife and I got upgraded to a large suite based on my IHG status which included a shower and a tub. The water flew out of the facet at the sink but at least there was a written warning of as much. We did not eat at the hotel or make use of the pool but it looked pretty awesome. We were able to walk from the hotel to the Heineken factory for a tour and over to the Jordaan and red light district. It was a quiet location at night, the beds were comfortable and we could walk everywhere we wanted to go.",50
Nice old style hotel on Amsterdam river,We went for a business event. The hotel location is nice with beautiful view on the window. Meeting rooms are impressive but very old style. Also my room was very spacious but very classic. Food was ok. International style. Check-in was very low. Personnel took a very long-time to insert my credit card.,40
Best breakfast ever!,"Having lived in Amsterdam, I'd seen the hotel all the time. But never had a reason to visit. Now that I had to visit Amsterdam, I knew I had to try the Amstel Hotel. It did not disappoint :) The setting is amazing and the room [Junior suite] was large with an amazing view over the river. Very comfortable bed and a large and luxurious shower and bath. Staff was friendly, check-in and out were excellent. The best part though was breakfast. I love a la carte breakfast ;) Super friendly staff and since it was a Monday morning, it was really quiet and we could sit at the window overlooking the Amstel. Need to go to Amsterdam a few times in the coming weeks. I'll be at the Amstel Hotel :)",50
"Disappointing, poor value, poor service high tea","After quite a few high teas in Amsterdam - The Duchess at the W, the Waldorf etc, and at Hotel des Indes in The Hague (my favourite), my husband booked the Amstel as a treat for my birthday this past weekend. Although not all the others have been good this was the most disappointing from the poor welcome at the beginning to the 184 euro bill at the end. We opted for their royal high tea which didn’t seem any different to any other. First course was a mini quiche and a sort of sausage salad, second course I cannot remember at all it was so nondescript and the sweets selection included a scone and a few pastries. The scone was actually good, although the lemon curd that came with it was too runny. If this selection had been served by knowledgeable staff they could have (maybe)",20
Tea at InterContinental Amstel Amsterdam,"A luxury and tasty experience. Taken by my daughter, me and my wife went to this luxury hotel for tea. The service, the quality of the food as well the variety of teas, was a greatful experience. Well, seeing the price paid, is not for everybody.",50
"Hotel is dated, we ended our stay early due to disappointing experience","Upon arrival at 5pm we had to wait 45 minutes before we could access our room, no reason was given. We were booked into a room much smaller than we'd paid for, with a side view, not river as expected. Staff seem quite disorganised and the impression is that this hotel was once grand and luxurious, but has not been maintained. Wallpaper is discoloured, carpets old and fraying, and in the hallway outside our room there was an area sectioned off with tape & traffic cones. It's certainly not the sort of ambience you'd expect from a 5 star property. Sadly we left after the 1st night and moved to a different hotel for the remainder of our stay. On the positives, the manager Pascale was genuinely apologetic for the mistakes and experience and accommodated our early departure. This",30
Should not have returned....,"I stayed here again for work, and I am not surprised that it hasn’t changed from my last impression. Nice, traditionally-appointed plush rooms. Still astounded by the staff. For eg, asked for some eggs and bacon at breakfast, and they sent an older waiter who frowned at me and tell me that its not possible, due to unclear reasons. I was also sitting at a table near the those napkin counters and noticed the staff hung around there, chit-chatting and laughing loudly, and not attending to diners. Needs a total change-over in staff. Why did I return?",20
Luxurious,"It was luxurious. While we were checking in, we were offered champagne while waiting for our key card. You don’t stand in line while waiting but seated. The room was very large. We opened our 4 luggages but still we could walk around with ease. Of course the bed, the couch were impressively decorated. The bathroom was also large. Different division for the shower, another for the bath tub and another room for the toilet. The racks which held your towels in the bathroom were heated. Of course, it was very expensive. Pets are allowed. Well, i know dogs were allowed because there were guests there with their dogs. They even have special menu for your dog. We also had a beautiful view from our window. If you have much to spend on a hotel, this is the place to be.",50
Wonderful room and stay,"As an Ambassador, we were upgraded to a canal view room and got a 4pm late checkout. Room was beautiful and tastefully appointed. Special thanks to Rick at check in and Tim, at the concierge desk. Both were extremely helpful and pleasant to deal with. We had a lovely stay.",50
Best hotel I have had the pleasure to stay at.,"I have been traveling for over 50 years and my hotel stays have ranged from Motel 6 and mom and pop to 5 star hotels. To say this is the best I have ever stayed at is saying something. From the welcome from to the doorman on arrival to the goodbye from the doorman on departure everything is perfect. The staff is attentive and helpful. From the welcome card and the cookies, the turndown service to the great bath amenities are all top notch. I paid for my stay with points and was treated tremendously. I only wish I would have tried to ask for an upgrade. We got an room across the elevator, but we never heard any noise. Saying that the room was awesome. A cheaper breakfast option would have been great but one can't have everything in life. The burger I did have was well worth the",50
Fantastic stay,"I stayed at the International Amstel with my wife for 6 days in October this year. For a quick review: fantastic location. Exceptional staff who clearly are, in the main, career service industry professionals. The rooms are lovely. The food and drink are not to be missed. We'll be back! Longer review: Before writing this review I gave a little consideration to the common complaints made by other reviewers: fashion of the rooms (being quite dated), and (oddly enough) breakfast service. The hotel is well placed, close to the tourist areas of Amstersam and well connected by a nearby metro and tram stations. The service at the hotel was of a very high standard. We had breakfast, dinner, brunch, used the concierge service a number of times, and rented one of the canal boats. All",50
Beautiful building but poor service,"At check-in, there was only one of service staff at the counter, and she was talking on the phone. I just stood there waiting for her to finish talking. The breakfast service staff is not enough. Everyone is very busy. It is difficult to find a waiter to service. After I finish breakfast , I had to proactively ask for the bill. After signing the bill, I can't find the waiter. At the time of check-out, the bill was automatically deducted from my credit card, but I was not asked if I would use Euro or Taiwan Dollar . The counter used DCC with a Taiwanese currency deduction, which made me pay more.",20
Awesome Stay,"Reserved by IHG membership one night in this most beautiful hotel in the world, it’s quite memorable! Room is big and clean even thought it’s bit of out dated , awesome big indoor pool & staffs , we checked in as early as 8:30 am no need to run outside , just rest in pool area and a cup of hot tea , at 11 am the dancing exercise program in the pool so so fun , plus spa was helping eased some of back pains, Thank god ! As hotel recommended we took a short boat ride through the back of the hotel felt more happier , hotel concierges helped to buy museum ticket inside the hotel too , great service ! love love the tea & apple pie in lounge, lunch in basement has Vegetarian option , room service pretty professional too! Can’t wait to come back in the future !",50
Nice hotel,"Hotel was recently renovated and did not disappoint. Room view was waterfront and quiet. Hotel staff was helpful in regards to restaurant suggestions. Bartender was a bit surly, which caused us to walk across the street. Location to downtown could have been better, but we like to walk. Situated mid way between the museums we wanted to visit and the downtown area. We would stay here again.",40
A gem in Amsterdam,"The Amstel was a wonderful choice for our stay. The staff was gracious and helpful. The concierge was knowledgeable and spot on with every recommendation. Our room had a glorious view overlooking the river. Our room was beautifully decorated, large, bathed in light. The entire hotel is beautifully decorated. We loved sitting outside enjoying a drink or meal. The quieter location is a plus.",50
Third time's a charm,"This was my third time staying at this beautiful Grand Dame of a hotel. We were horse shopping in The Netherlands for about five days, and chose to stay once again at the Amstel. We had three rooms, and all were facing out to the canal with gorgeous views. This hotel is old, and it certain areas shows it age, chipped paint, creaky floors, etc... but on a whole what it lacks in those area, makes it for it in its beautiful location, wonderful service, and gorgeous views. My daughter had her 21st bday dinner in the restaurant down on the canal, and the pastry chef prepared a beautiful desert and gorgeous presentation. A few small complaints, we were in a non smoking room, which clearly had previous smoking guests. But we chose not to switch as my daughter and our friend were",50
Amsterdam,"Wonderful place. The staff is professional, warm and kind. The concierge (all of them) know their city. The suggestions of restaurants are right on. My daughter’s and I loved the canal ride and lunch. We will be back.",50
What happened to the 5-star continental breakfast...??!!!,"We sometimes lodge in Amstel hotel overnight just because we love the experience and the atmosphere. This time, everything about rooms and facility was fantastic as always but the breakfast was not a 5-star experience anymore! Amstel hotel used to have a wonderfully huge and continental buffet breakfast but it seems that the extremely heavy cost-cutting exercise has visited their breakfast room as well in a very extensive way! The breakfast is changed to a weird combination of small and minimalistic buffet breakfast and a companying 3-option menu! The buffet was pretty sad, small and lacks pretty much everything, and is similar to an average 2-star hotel. Even the selection of Dutch cheese and bread are now gone. It seems that the new owner (Katara hospitality) has a",40
"Overprice alert, lower your expectations","I like intercontinental hotels so pick this based on my previous good experiences, but i think you must think twice if you looking into stay there. Once again, in a great location near Amstel, you can easily walk the whole Amsterdam Centrum which is an area for anything you wish to visit from restaurant, bars and pastries to Cannabis stores and brand shoppings and of course the sightseeings. It’s a beautiful building in peaceful area, I stayed at river side room which i suggest as an essential(view-wise). But these beauties won’t last when you get inside. Poor hospitality, the reception is a desk with one staff! You must wait for one to be finished then you can proceed, it was ok if there was a lobby but there isn’t. Nowhere to chill and enjoy a cup of coffee. The whole floor",30
Great stay at this beautiful historic hotel,"Stayed 4 nights in late July 2019. Spacious classically designed room. Air conditioner worked great which was a big plus as we were there during the city’s record breaking heatwave(over 100 degrees). Friendly staff and service. Beautiful public areas,restaurants and bar. Terrific spa and pool making it hard to leave the hotel even for sightseeing. Highly recommend",50
Post-Cruise Stay,"After an awesome 8 days Rhine river cruise we were escorted around 10am to the Amstel. We were promptly greeted before entering the hotel and walked to the check in area where were greeted with champagne. A seamless and very professional check in process. Our room was ready, so we were escorted by the person who checked us in to show the room giving all the details. Our luggage promptly arrived. We were able to settle in, go to the atrium of this grand hotel review our maps and hit the ground running to see this awesome city without having to worry about when our room was going to be ready. The concierge was extremely helpful as was all the staff during our stay. The staff in solarium, bar staff, restaurant staff, bellman, doorman, management and housekeeping were all",50
Palatial luxury hotel.,"Located within the central canal ring of Amsterdam, just minutes walking from most of the city's attractions, the InterContinental Amstel is a very good base of operations for tourism. The palatial structure matches the rich indoors decor of the common areas, and the 1-star Michelin restaurant is the cherry on top. We arrived sometime before noon, and since our suite had been upgraded to one of the Penthouse Suites which had been occupied the night before (we were offered the suite we had booked immediately, or wait for the upgrade... guess what we chose?), we just took care of the check-in paperwork, handed over our suitcases, and set out to see the city. Shortly after noon, we received a call to let us know our Penthouse Suite was waiting for us (you did guess, didn't you?).",50
Overpriced,"We were at this hotel for four nights, location was good, housekeeping was very nice but room service, restaurant menu and hospitality doesn’t get good rates. Lobby services were poor. At arrival our luggage was not even taken. Internet speed was disappointing. And overall i think it was overpriced!",30
Fantastic weddinf weekend!,"My husband and I stayed there for our wedding weekend and had the most amazing stay. Although we did not host our wedding here, we had many of our guests stay at the Amstel. We are from Hong Kong and the protests unfortunately caused a number of guests to miss a day of their stay due to flight cancelations. Amstel was incredibly helpful and thoughtful during this time and called us to check on which guests were affected and offered to cancel the lost day. We were also upgraded to a spectacular suite and was also treated to champagne and chocolate covered strawberries. The hotel is as grand and majestic as we expected and the service was also attentive and friendly. The breakfast was also delicious and we loved starting each day with a glorious meal overlooking the Amstel river.",50
Grande dame,"The Amstel stays as the grande dame of the city. Unbeatable location, wonderful building. Great food at restaurants, excellent breakfast and the always beautiful pool and spa installations. We had an executive suite of generous size, big compartimentos bathroom, everything tasteful and in refurbished condition maintaining classic elegance. Staff is well trained and very nice. My only not ideal comment relates to the width of the bed. King beds are a standard in suites. Due to the diagonal position of the bed, the architects decided they had to go for a 180 cm wide bed which I consider not correct. The real king size bed mesures 200 cm",40
Breakfast blues.,"A very nice hotel on the banks of the Amstel River. Classy entrance foyer, accommodating, friendly staff in all departments, beautiful bedroom and bathroom with lovely view. Pillows to die for and an oh so comfortable mattress. Only let down were the breakfasts. Service was charming but slow. Used plates not cleared away in a timely manner, and eggs arrived lukewarm. I actually had to ask for a warm plate when I chose to eat from the Bain-Maries. Sorry to be negative but after the delights of the Adlon Kempinski this was a world apart.",40
Business and tourist central,This was our second group stay at the Amstel Hotel for business coupled with some private tourist activities. Private dining was again superior with the cocktail service along the Amstel River and dinner in a private dining room. The hotel has docking facilities for private boat tours. The rooms continue to be very high quality with great views of the river. The staff is well trained and responsive.,50
TERRIBLE HIGH TEA NOT RECPECTING ALLERGIES,FIRST OF ALL - mentioning on the phone specific allergies SECOND - arriving to the high tea and still telling about very serious allergies that can get me to the hospital (chicken) then --- after mentioning it 5 times they still give me chicken dishes telling them again I'm highly allergic for that. next dish is coming out they're explaining about all kinds of disgusting bread dishes where the bread is dry and the spread on the bread is even better in the supermaket. she mentions chicken so again we ask her is there chicken? she bluffs and says no no chicken. we start eating and it wasn't good to begin with then we see chicken. If only I would have eaten a piece I WOULD HAVE GOTTON TO THE HOSPITAL!!! SHAME ON YOU TERRIBLE SERCIVE AND TERRIBLE FOOD,10
Nice five star hotel,"This is a very good five star hotel. We had a room with view to the Amstel river. The ambience of the hotel is very nice, but you could expect even better service with this location and prices. Breakfast was not satisfactory",40
Grand but a tad tired,"We stayed at this hotel for free as we had a free IHG hotel stay anywhere in the world. We chose this as it has a great reputation and previous guests have included royalty and the likes of George Cloonie and David Bowie. Im sure this was the grandest hotel of its day but our visit was nothing special really. The room had echoes of grandure but the carpet was dirty, the TV quite dated. The room needs a facelift to be honest. We are now staying at the Crowne Plaza in the south of the city and both agree that it is a much finer hotel alltogether. If i had paid the going room rate at the Amstel I would have been feeling a little had.",40
Beautiful but too slowwwww,"I went for a business lunch at its restaurant. The hotel is fascinating. The restaurant is very well decorated. It also provide great view of the amstel river. However, the service is so slowww. It kept us forever to get one thing. And another forever to get another thing.",20
Love this Grand Hotel!,"The Amstel is a grand old dame - and she has been treated well. The hotel is in a lovely location on a canal (hard not to be on a canal in Amsterdam, however), but this canal was relatively quiet and away from the heavily-touristed part of Amsterdam. Our room was amazing - I loved that the windows opened - the weather was great! We had several breakfasts in the hotel as well. They were delicious. The terrace bar was wonderful as well. The Amstel staff was superb, friendly and professional, as you would expect at an InterContinental. Amstel is a lovely luxury experience in a great city. I would stay there again and again.",50
"Lousy service, not much to rave about","Appalling service. Rude staff. Yes the view is nice and the cakes/scones were great BUT the sandwiches are big standard (except served inside the bread (for decades already...c’mon - get creative!!!!), there were only 3 varieties of tea served (used to be more) and they cut down on their savory elements. Plus the staff forgot to give our table our chocolates and got our bill wrong. Rubbish. Much better alternative options in town. Amstel are passé on the high tea scene. ☹️",10
Service no good,"We were at a party in the “spiegelzaal” tonight. The people serving us were not so friendly and were not speaking clearly. We expected younger, more fitting and friendlier employees. We wanted to order gin tonic or grey goose to drink, but the employee did not know what this was. We were shocked and could not understand how an employee working in the ballroom did not know what this was. We thought we were in a high class hotel, known in Amsterdam with such a big name and the employees did not even know what a gin tonic is, how is this possible? The food was served without any effort, it was just thrown on the plates and tables. We then ordered wine because this was something they did have, and even this took atleast 15 minutes to arrive. We were very disappointed, our friends",10
First row. First class.,"For me by far the best hotel in Amsterdam. Perfectly located in the middle of the city. Book a room on the upper floors overlooking the water. the rooms are large and decorated with valuable antiques. Everything has style and elegance, that team is friendly and discreet. The best thing for me is to sit on the terrace by the water and drink a cocktail from the first-class bar. Sure, there are cheaper hotels in Amsterdam. But none that is worth its price so much.",50
The Brasserie: Truly Exceptional and Elegant Wine-paired Menu with Excellent Service for 10,"Our dinner party for 10 at the Amstel Brasserie was one of the greatest evenings of wining and dining I've ever experienced. (I'm 59, so that says something.) The food was delicious and the presentation impeccable; truly the stuff of the finest dining. The setting was classic and elegant. The service and wine pairing, just incredible. I erred in not asking the name of the servers and sommelier, so I could mention them here, but a big thanks to each for making the dinner party a truly (truly) memorable experience. A special thanks to InterContinental Groups & Events Manager Mui-Ling Wang. Very gracious, very professional, and just a very nice person. She did a great job in arranging the evening, which included celebrating the 75th birthday of one in our party. (The cake was",50
A taste of a bygone era,"We stayed for two nights and had a very memorable experience. The decor and ambience of the hotel remind you of a bygone era. Very traditional and elegant. The staff were excellent and we made use of the pool, the fitness centre and the spa all of them were excellent. We had dinner at the brasserie one night which was very good although they did have trouble accommodating the two vegans in our party. The location is great with lovely views from the rooms and terraces. We were able to walk to most of the attractions in Amsterdam.",50
We arrived merely as (IHG) Ambassadors but were treated as Royalty,"I have deliberated for almost a year in trying to adequately describe the wonder of our stay at the Amstel. Although the time has come to give this review I know that words cannot adequately describe or do justice to the overwhelming and absolutely delightful experience that we had there. TripAdvisor quite properly encourages reviews to give as much information as possible about a Hotel but the Amstel is so much than hotel accommodation. It is an experience to treasure. It is a discovery of such delight that a guide, rather than a detailed description, is all that I am going to provide. Therefore, I simply: - commend the management and staff for their outstanding service. Only once before have I ever experienced service of such quality and care. Thank you. - recommend in",50
Phenomenal experience...one of the finest hotels we have ever stayed in. We will definitely be back.,This is one of the finest hotels we have ever experienced....and we do quite a lot of traveling. The service is excellent. The hotel is splendidly posh and elegant.We will definitely return in future.,50
Overpriced and underwhelming,"Stayed one night (6/2/19) at end of river cruise. Room was 2 levels: bedroom and bathroom upstairs in basically the attic and sitting room and 1/2 bath on lower level. Upstairs air conditioning not working so it was like a sauna. Hotel solution was to provide a fan to blow the hot air around. Hot water faucet handle in 1/2 bath did not work but it was fixed while we were at dinner. Arrived on Sunday and when we tried to et lunch in hotel restaurant we were told it was fully booked. Glad for the hotel but first time I have ever encountered this. Staff less than warm and welcoming but from what other reviews I have read, typical Dutch. Room price was very high and very overvalued.",10
End of Tauck tour,"This hotel was part of out Tauck tour. Tauck paid for one night and we paid for the second. So far we have not been impressed. From a 30 minute delay to check in to a warm room, it does not rate as a top hotel. The check in could have been improved by adding another clerk. The young lady at the desk said they couldn’t afford more staff. I guess my question is where was the manager to help out? Of course she didn’t go over anything about the wifi or breakfast or how to operate the air conditioning in the room. That was left up to us to determine. Unfortunately it reached 90 degrees today. The room is facing the sun and become very warm. We asked to have it checked. The young man that came admitted it was warm and said he has another room with the same problem. However",30
Great place,"My wife and I spent one night here before boarding a Viking River Cruise boat. The hotel concierge arranged an airport transfer for us when we arrived in Amsterdam and also had made a reservation for us at the hotel's fine-dining restaurant. Our room was spacious and luxurious, the hotel itself was very quite, and the location was excellent. Our dinner was first-rate, and the staff did a great job of explaining several exotic dishes. Both the hotel rate and the dinner tab were on the high end but were well worth it.",50
This could be my favorite hotel!,"I have stayed in hotels all over the world and this may be my favorite hotel of all. The decor of this Old World hotel is beautiful and charming without being overly stuffy. The staff are exceptionally trained, helpful and professional. Breakfast is lovely and relaxing as is the terrace for lunch or cocktails. The location is perfect with taxis readily available outside and just a block or two from both a metro station and a tram stop. If I could give this hotel more than 5 stars, I would. We stayed 3 nights and I'm only sorry we didn't stay longer.",50
Outstanding!!,I'm really surprised this isn't higher on the TA list. This is an outstanding hotel with the kind of charm you don't see anymore. The staff is excellent and friendly without being to overly sweet. We booked through AmEx which I highly recommend as the room upgrade was especially appreciated. We were there for an anniversary and I don't think the hotel could have been nicer or done more to make us feel welcome. They really went out of their way. The breakfast is one of the nicest we've seen. If you're looking for something different I'd suggest reserving one of their vintage boats for a picnic along the canals. Ben is highly knowledgeable and an expert Captain. Very Impressed with everything and everyone.,50
"Great Hotel, Great Location, Great Staff","Can’t rave enough about this hotel, its location and it’s staff. Check in was a breeze and the room and view was exceptional. Was able to walk to most locations. Breakfast buffet was an experience. Best of all was the staff especially the concierge. As usual didn’t plan well enough and required extensive help in arranging museum and dinner reservations. Concierge staff made up for our lack of planning and provided us with a special experience in Amsterdam. With the exception of the TV set that was too complicated this was one of the best hotels I’ve ever stayed at. Kudos to the staff.",50
Lovely hotel with understated elegance,"I spent six days at the Intercontinental and thoroughly enjoyed my stay. I booked with American Express. The room was upgraded to a room with a view of the Amstel River which was spacious and bright with large windows that actually open! The breakfast buffet was excellent, with fresh fruit every day and a wide selection of delicious food as well as eggs dishes to order. The fruit smoothies were a treat. The lobby, tea room, and bar are very pleasant. The staff was very friendly and helpful, but not pushy. I loved the old elegance of the building and the quietly attentive service. I also liked that it is a little bit away from the very busy central square area but it still very well located to the museums and other attractions. I would definitely stay there again if I",50
Anniversary celebration- Wonderful hotel in a superb location,"We went for our wedding anniversary and the welcome we got could not have been warmer. The hotel is a stunning 19th century building, chic and refined situated on the Amstel river. The welcome was warm and friendly. Our room was beautiful, spacious and overlooking the river at the front of the hotel. It was luxuriously appointed, large with a very comfortable bed and a big bathroom with lovely toiletries, separate bath and shower, lots of fluffy towels and gallons of hot water. There is a superb lounge for a light snack, drink or afternoon tea, which overlooks the river. It is very light as the roof is glass as in a large conservatory. We arrived in time for coffee and a snack here before embarking on their lovely wooden canal boat for a private trip around the canals. It was",50
Okay but not fabulous,"Our stay was to celebrate our birthdays - we were expecting fabulous and didn't quite get it. Check-in was pleasant but slow. We arrived at about 13:00 and as our room wasn't ready we opted to have lunch in the Amstel Brasserie whilst we waited. We had a very leisurely and thoroughly enjoyable lunch - service, food and view all excellent - but no-one turned up as promised to let us know the room was ready. So we pootled back to reception and went through another 15 minutes of faff before we finally got the keys to our room. So eventually to the room - upgraded because of status to a standard room with canal view (wow) - and it was all a bit underwhelming; a bit poky and the furniture had seen better days; as had the carpet which didn't appear to have seen a vacuum for a",30
